Cust_class_list,cust_Segment_Id,cust_User_Id,cust_Attendance
330089,1,34001946,False
330089,2,34001946,False
330089,1,34001947,True
330089,2,34001947,True
330089,1,34001948,False
330089,2,34001948,False
330089,1,34001949,True
330089,2,34001949,False
330089,1,34001950,False
330089,2,34001950,True
330089,1,34001951,False
330089,2,34001951,False
330089,1,34001952,False
330089,2,34001952,False
330089,1,34001953,True
330089,2,34001953,True
330089,1,34001954,False
330089,2,34001954,False
330089,1,34001955,False
330089,2,34001955,False
330089,1,34001956,False
330089,2,34001956,True
330089,1,34001957,True
330089,2,34001957,True
330089,1,34001958,True
330089,2,34001958,True
330089,1,34001959,False
330089,2,34001959,False
330089,1,34001960,False
330089,2,34001960,False
330089,1,34001961,False
330089,2,34001961,False
